,coefficient
ssl_final_state,2.64178788628173
prefix_suffix,2.0202956832161902
prefix_suffix ssl_final_state,-1.9466107467311986
url_of_anchor,1.9366724623840026
having_ip_address dns_record,1.4796360918211484
ssl_final_state^2,1.3831739255129427
url_of_anchor rightclick,1.2178284674424396
url_of_anchor^2,-1.1726928953100018
ssl_final_state submitting_to_email,-1.1714284410803972
prefix_suffix redirect,1.1621023157034807
ssl_final_state server_form_handler,1.1605367093778536
prefix_suffix server_form_handler,-1.0463415813996948
ssl_final_state favicon,-1.040132526783097
submitting_to_email links_pointing_to_page,1.027154331671349
domain_registration_length server_form_handler,0.9962528757219429
web_traffic^2,0.9875003847422402
having_at_symbol links_pointing_to_page,-0.9510332286816422
https_token url_of_anchor,-0.9081018657271016
url_of_anchor links_pointing_to_page,0.8950205075391119
url_length shortening_service,0.8864568614007383
favicon age_of_domain,-0.8640164035014212
server_form_handler web_traffic,0.8450389867946124
server_form_handler popup_window,0.8428978537705908
prefix_suffix url_of_anchor,-0.832622291814578
on_mouseover links_pointing_to_page,-0.7882592245187071
url_length submitting_to_email,-0.7878750993230418
double_slash_redirecting having_sub_domain,-0.7801434854890543
url_of_anchor google_index,0.7754177248820419
port links_in_tags,0.7744018634884904
age_of_domain page_rank,0.771785361786265
links_pointing_to_page^2,0.7659779226622834
port dns_record,-0.7565036697788032
having_sub_domain https_token,0.7419056154861109
url_length age_of_domain,-0.7318625401340754
url_length popup_window,0.7143659380347984
having_ip_address statistical_report,-0.7118104847502389
https_token links_in_tags,-0.704734021635087
ssl_final_state page_rank,0.7024436540381619
https_token web_traffic,0.6939508222480087
request_url rightclick,0.6850679199692243
having_ip_address,0.6836226033141874
shortening_service prefix_suffix,0.6770749103000905
dns_record web_traffic,-0.6721308994043191
domain_registration_length rightclick,-0.6666454412141676
shortening_service links_pointing_to_page,0.6653658815386071
ssl_final_state port,0.6652185532535776
server_form_handler page_rank,0.6601124034554918
redirect dns_record,0.6374507061870375
request_url iframe,-0.6328208162480623
abnormal_url on_mouseover,-0.6195065312672616
double_slash_redirecting url_of_anchor,-0.615032952205182
having_at_symbol age_of_domain,0.6125156595974013
url_length having_at_symbol,-0.6054300339912144
url_length links_pointing_to_page,-0.6045384308266684
shortening_service ssl_final_state,-0.6028655898280839
https_token redirect,-0.5922467194447646
double_slash_redirecting page_rank,-0.5876551453291717
domain_registration_length on_mouseover,0.5808712665933335
url_length redirect,-0.5776531744375856
having_ip_address links_pointing_to_page,-0.5769329465921677
on_mouseover,0.5727050749541461
port links_pointing_to_page,0.5663536503792932
abnormal_url links_pointing_to_page,0.5646616403906801
shortening_service links_in_tags,0.5626607081144468
having_ip_address url_of_anchor,0.5590161916246355
on_mouseover iframe,-0.5560890088481618
rightclick iframe,0.5532381789374261
double_slash_redirecting links_in_tags,0.5402980281748445
having_ip_address on_mouseover,0.5345559475694056
request_url,0.534133360296597
url_length rightclick,-0.5319614399632591
prefix_suffix page_rank,-0.5307631986615129
double_slash_redirecting abnormal_url,0.5211164172201871
server_form_handler,0.5199628067288307
having_at_symbol links_in_tags,-0.5195119542046496
port google_index,0.5172782885831744
having_at_symbol server_form_handler,0.5164380278750099
port server_form_handler,-0.5162198260218798
submitting_to_email on_mouseover,0.5140034128186362
domain_registration_length url_of_anchor,-0.5134977313806923
dns_record page_rank,-0.5047430351014842
server_form_handler on_mouseover,-0.4985366605031963
abnormal_url popup_window,-0.493768728710142
url_length double_slash_redirecting,0.4932775944759468
domain_registration_length port,0.4931576426623232
rightclick age_of_domain,0.49289942008808263
having_sub_domain port,0.48786300026335283
having_sub_domain redirect,-0.4878256645153569
links_in_tags age_of_domain,-0.487118264592783
double_slash_redirecting age_of_domain,-0.4831020632840389
url_length page_rank,-0.4787385185091276
links_pointing_to_page statistical_report,-0.47539218196950866
ssl_final_state redirect,0.46843879261569515
port,0.45549173861471354
ssl_final_state on_mouseover,-0.44918873044165136
dns_record links_pointing_to_page,-0.4484740677534007
popup_window google_index,-0.4414746503405989
having_at_symbol request_url,0.4410082060959837
domain_registration_length iframe,0.4338140254185157
ssl_final_state url_of_anchor,0.43296984859550347
web_traffic google_index,0.43237049036259134
url_of_anchor popup_window,-0.4316111383355544
links_in_tags submitting_to_email,-0.43091769046823014
prefix_suffix https_token,0.42389141807462893
links_in_tags server_form_handler,0.4225320974054898
port statistical_report,0.4165924328060752
web_traffic,0.4165527027595688
prefix_suffix links_pointing_to_page,0.41167985234902477
submitting_to_email popup_window,0.41125034206307753
https_token links_pointing_to_page,-0.40820697687423163
ssl_final_state popup_window,0.3995551934764565
links_in_tags links_pointing_to_page,0.3982353926883989
dns_record statistical_report,0.39659287587666653
rightclick links_pointing_to_page,0.3961276304185007
having_sub_domain server_form_handler,0.39520467498673817
having_ip_address age_of_domain,0.3922375434198393
url_of_anchor links_in_tags,0.3876338764886145
links_in_tags^2,-0.3869981069532301
domain_registration_length links_pointing_to_page,-0.38448419552433466
