,coefficient
ssl_final_state,3.1482850210066227
url_of_anchor,2.3852063323715713
prefix_suffix,2.0746415417990307
prefix_suffix ssl_final_state,-2.0652191490086884
having_ip_address dns_record,1.7008145337461142
prefix_suffix url_of_anchor,-1.4232312338624717
url_of_anchor rightclick,1.3368880715718607
ssl_final_state submitting_to_email,-1.3231653438992375
prefix_suffix server_form_handler,-1.3096820113596206
ssl_final_state server_form_handler,1.273569624604013
ssl_final_state favicon,-1.2455377870338173
submitting_to_email links_pointing_to_page,1.2177777830591687
https_token url_of_anchor,-1.1517332574451806
prefix_suffix redirect,1.1465284027699918
server_form_handler page_rank,1.1052052751124992
server_form_handler web_traffic,1.0965662753373664
url_of_anchor links_pointing_to_page,1.0687566078426125
url_length shortening_service,1.0324527344635024
https_token web_traffic,1.012051005579022
url_length age_of_domain,-1.0057219204543701
double_slash_redirecting having_sub_domain,-1.00007063984246
url_of_anchor google_index,0.9774253148003954
https_token links_in_tags,-0.952786500989333
url_of_anchor iframe,0.9188345948528585
favicon age_of_domain,-0.9078413381320762
port links_in_tags,0.9021410371403383
domain_registration_length server_form_handler,0.9021090757369579
request_url,0.888122816157988
having_ip_address statistical_report,-0.8880874222307223
url_of_anchor popup_window,-0.8812699389326137
having_sub_domain https_token,0.865621330219616
having_ip_address,0.8548925896145292
prefix_suffix page_rank,-0.8469424089432052
port dns_record,-0.8421070111564997
port google_index,0.8396086768993289
url_length having_at_symbol,-0.8289647312021372
https_token redirect,-0.8286252164790469
web_traffic,0.8193970140685105
favicon url_of_anchor,-0.8169472383438329
having_at_symbol links_pointing_to_page,-0.7908913629900367
dns_record web_traffic,-0.7886747659355642
port server_form_handler,-0.7843831291846268
age_of_domain page_rank,0.7810462464667579
double_slash_redirecting url_of_anchor,-0.7633046615293961
url_length port,0.7591957464835624
url_length popup_window,0.7587571220115973
ssl_final_state page_rank,0.738975134490353
server_form_handler,0.7289135117083404
shortening_service links_in_tags,0.7231427363155746
having_ip_address on_mouseover,0.721188803380838
ssl_final_state port,0.7005702978453535
links_pointing_to_page,0.700423592848281
rightclick age_of_domain,0.6953172176416815
having_ip_address links_pointing_to_page,-0.695287895733773
double_slash_redirecting page_rank,-0.6942624259551546
rightclick links_pointing_to_page,0.6898976188328508
url_of_anchor server_form_handler,0.6883609517681522
rightclick iframe,0.6875610090692306
having_sub_domain,0.6797887951847972
url_length rightclick,-0.6738824019268757
having_sub_domain port,0.6737325485922824
shortening_service url_of_anchor,-0.6737024454570668
url_length double_slash_redirecting,0.666197056492716
redirect,-0.6643033326899243
google_index,0.6590893821262365
server_form_handler popup_window,0.6554854039685671
port url_of_anchor,0.64711687465293
submitting_to_email web_traffic,0.6430025934239368
having_at_symbol request_url,0.632396333885346
on_mouseover links_pointing_to_page,-0.631744551806592
redirect dns_record,0.6273961710100581
having_at_symbol age_of_domain,0.6136187817056834
dns_record links_pointing_to_page,-0.6109086678877793
submitting_to_email on_mouseover,0.6061555704954515
url_of_anchor submitting_to_email,-0.6042883107139578
having_at_symbol links_in_tags,-0.5993316608956174
domain_registration_length on_mouseover,0.5992067025164746
on_mouseover,0.5989319177924461
having_at_symbol page_rank,0.5975317441120314
shortening_service prefix_suffix,0.5966841621269231
url_length redirect,-0.5943765656027222
server_form_handler on_mouseover,-0.5792927311710155
abnormal_url links_pointing_to_page,0.5787451276083195
having_ip_address prefix_suffix,-0.5771225899203396
request_url iframe,-0.5767309214656828
on_mouseover google_index,0.5721938033466101
double_slash_redirecting abnormal_url,0.5688381786281659
statistical_report,0.5668673426477984
having_at_symbol statistical_report,-0.5662075690351798
url_length links_pointing_to_page,-0.5645496230387964
https_token,-0.5642499039563591
favicon port,0.5567505022246149
links_in_tags links_pointing_to_page,0.552440783078649
url_length submitting_to_email,-0.5515732826993257
port statistical_report,0.5479636925447735
links_pointing_to_page statistical_report,-0.5478629926175197
shortening_service request_url,0.5428768832856963
port,0.5380932053043562
having_ip_address abnormal_url,-0.5371783199712356
domain_registration_length,-0.5324977639904448
double_slash_redirecting links_in_tags,0.5307428505161003
links_in_tags rightclick,-0.527845398983235
double_slash_redirecting request_url,-0.5261916780955305
redirect statistical_report,0.5229608157598905
abnormal_url on_mouseover,-0.5212046463368464
having_ip_address url_of_anchor,0.5190944977100731
popup_window links_pointing_to_page,-0.5187491469318039
shortening_service having_at_symbol,0.5038328222977325
ssl_final_state popup_window,0.4951846228739425
popup_window iframe,0.49299792073752063
shortening_service statistical_report,0.4922974549598713
having_at_symbol server_form_handler,0.4908886591480595
prefix_suffix rightclick,0.48919789022158083
abnormal_url popup_window,-0.48451572393314213
dns_record,0.4813385377542894
dns_record page_rank,-0.4809796463919575
domain_registration_length iframe,0.47924109355584643
url_length page_rank,-0.4790316348685302
web_traffic links_pointing_to_page,-0.4771129490652138
on_mouseover dns_record,0.47377152063499894
domain_registration_length rightclick,-0.47169636605748233
ssl_final_state links_pointing_to_page,-0.4678887632377767
page_rank statistical_report,0.4667000831376326
having_sub_domain favicon,-0.4638529697469407
ssl_final_state iframe,0.4632611812363798
port page_rank,-0.462668455608847
ssl_final_state redirect,0.4606393819261104
having_ip_address url_length,-0.4600823600207403
favicon https_token,0.4569197896080813
url_length server_form_handler,-0.4533940844622595
double_slash_redirecting submitting_to_email,-0.4445830585221811
links_in_tags,0.4433395115403326
ssl_final_state on_mouseover,-0.4407519689347485
links_in_tags age_of_domain,-0.43636898121641765
double_slash_redirecting age_of_domain,-0.4329303555160384
port iframe,-0.43122297529215614
on_mouseover rightclick,-0.42966888936444625
having_sub_domain on_mouseover,-0.4247839116640414
port submitting_to_email,-0.4245934103998443
redirect rightclick,-0.4237423059501597
prefix_suffix https_token,0.4203868732969771
url_of_anchor redirect,-0.41756082724014537
prefix_suffix links_in_tags,-0.4170772937985082
having_at_symbol redirect,0.41635176631783677
having_at_symbol,0.4156384008265778
url_length google_index,0.4148655031429646
request_url statistical_report,0.41304069961896234
favicon submitting_to_email,0.4124439869707952
links_in_tags server_form_handler,0.4065485061311712
on_mouseover iframe,-0.4060710019425808
having_sub_domain redirect,-0.4039709867259417
having_at_symbol rightclick,0.40221783739875244
port on_mouseover,-0.3999246729402234
having_at_symbol popup_window,-0.3979347732409989
shortening_service iframe,-0.397726167959654
redirect on_mouseover,-0.3972612508931431
url_length web_traffic,0.3957942576940865
redirect links_pointing_to_page,0.39426484099280723
shortening_service dns_record,-0.39360448738100157
prefix_suffix abnormal_url,0.39209538158070795
iframe links_pointing_to_page,-0.38917298410939877
